,0
0,-1.0
1,-1.0073597056117756
2,-1.0147194112235511
3,-1.0220791168353265
4,-1.029438822447102
5,-1.0367985280588776
6,-1.0441582336706532
7,-1.0515179392824288
8,-1.0588776448942043
9,-1.0662373505059797
10,-1.0735970561177552
11,-1.0809567617295308
12,-1.0883164673413064
13,-1.095676172953082
14,-1.1030358785648575
15,-1.1103955841766329
16,-1.1177552897884084
17,-1.125114995400184
18,-1.1324747010119596
19,-1.1398344066237351
20,-1.1471941122355105
21,-1.154553817847286
22,-1.1619135234590616
23,-1.1692732290708372
24,-1.1766329346826128
25,-1.183992640294388
26,-1.1913523459061637
27,-1.1987120515179392
28,-1.2060717571297148
29,-1.2134314627414904
30,-1.220791168353266
31,-1.2281508739650413
32,-1.2355105795768169
33,-1.2428702851885924
34,-1.250229990800368
35,-1.2575896964121436
36,-1.2649494020239191
37,-1.2723091076356945
38,-1.27966881324747
39,-1.2870285188592456
40,-1.2943882244710212
41,-1.3017479300827968
42,-1.3091076356945721
43,-1.3164673413063477
44,-1.3238270469181233
45,-1.3311867525298988
46,-1.3385464581416744
47,-1.3459061637534497
48,-1.3532658693652255
49,-1.3606255749770009
50,-1.3679852805887764
51,-1.375344986200552
52,-1.3827046918123276
53,-1.3900643974241031
54,-1.3974241030358785
55,-1.404783808647654
56,-1.4121435142594296
57,-1.4195032198712052
58,-1.4268629254829808
59,-1.4342226310947561
60,-1.4415823367065317
61,-1.4489420423183073
62,-1.4563017479300828
63,-1.4636614535418584
64,-1.4710211591536337
65,-1.4783808647654093
66,-1.4857405703771849
67,-1.4931002759889604
68,-1.500459981600736
69,-1.5078196872125114
70,-1.5151793928242872
71,-1.5225390984360625
72,-1.529898804047838
73,-1.5372585096596136
74,-1.544618215271389
75,-1.5519779208831648
76,-1.5593376264949401
77,-1.5666973321067157
78,-1.5740570377184913
79,-1.5814167433302668
80,-1.5887764489420424
81,-1.5961361545538177
82,-1.6034958601655935
83,-1.6108555657773689
84,-1.6182152713891444
85,-1.62557497700092
86,-1.6329346826126954
87,-1.6402943882244712
88,-1.6476540938362465
89,-1.655013799448022
90,-1.6623735050597976
91,-1.669733210671573
92,-1.6770929162833488
93,-1.6844526218951241
94,-1.6918123275068997
95,-1.6991720331186753
96,-1.7065317387304508
97,-1.7138914443422264
98,-1.7212511499540017
99,-1.7286108555657773
100,-1.7359705611775529
101,-1.7433302667893285
102,-1.750689972401104
103,-1.7580496780128794
104,-1.7654093836246552
105,-1.7727690892364305
106,-1.780128794848206
107,-1.7874885004599816
108,-1.794848206071757
109,-1.8022079116835328
110,-1.8095676172953081
111,-1.8169273229070837
112,-1.8242870285188593
113,-1.8316467341306346
114,-1.8390064397424104
115,-1.8463661453541858
116,-1.8537258509659613
117,-1.8610855565777369
118,-1.8684452621895125
119,-1.875804967801288
120,-1.8831646734130634
121,-1.8905243790248392
122,-1.8978840846366145
123,-1.90524379024839
124,-1.9126034958601656
125,-1.919963201471941
126,-1.9273229070837168
127,-1.9346826126954921
128,-1.9420423183072677
129,-1.9494020239190433
130,-1.9567617295308186
131,-1.9641214351425944
132,-1.9714811407543698
133,-1.9788408463661453
134,-1.986200551977921
135,-1.9935602575896962
136,-2.000919963201472
137,-2.0082796688132474
138,-2.0156393744250227
139,-2.0229990800367985
140,-2.0303587856485743
141,-2.0377184912603497
142,-2.045078196872125
143,-2.0524379024839003
144,-2.059797608095676
145,-2.067157313707452
146,-2.0745170193192273
147,-2.0818767249310026
148,-2.089236430542778
149,-2.0965961361545538
150,-2.1039558417663295
151,-2.111315547378105
152,-2.1186752529898802
153,-2.126034958601656
154,-2.1333946642134314
155,-2.140754369825207
156,-2.1481140754369825
157,-2.155473781048758
158,-2.1628334866605337
159,-2.170193192272309
160,-2.177552897884085
161,-2.18491260349586
162,-2.1922723091076355
163,-2.1996320147194113
164,-2.206991720331187
165,-2.2143514259429624
166,-2.2217111315547378
167,-2.229070837166513
168,-2.236430542778289
169,-2.2437902483900647
170,-2.25114995400184
171,-2.2585096596136154
172,-2.2658693652253907
173,-2.2732290708371665
174,-2.2805887764489423
175,-2.2879484820607177
176,-2.295308187672493
177,-2.3026678932842684
178,-2.310027598896044
179,-2.31738730450782
180,-2.3247470101195953
181,-2.3321067157313706
182,-2.339466421343146
183,-2.3468261269549218
184,-2.3541858325666976
185,-2.361545538178473
186,-2.3689052437902482
187,-2.3762649494020236
188,-2.3836246550137994
189,-2.390984360625575
190,-2.3983440662373505
191,-2.405703771849126
192,-2.4130634774609017
193,-2.420423183072677
194,-2.427782888684453
195,-2.435142594296228
196,-2.4425022999080035
197,-2.4498620055197793
198,-2.4572217111315546
199,-2.4645814167433304
200,-2.4719411223551058
201,-2.479300827966881
202,-2.486660533578657
203,-2.4940202391904327
204,-2.501379944802208
205,-2.5087396504139834
206,-2.5160993560257587
207,-2.5234590616375345
208,-2.5308187672493103
209,-2.5381784728610857
210,-2.545538178472861
211,-2.5528978840846364
212,-2.560257589696412
213,-2.567617295308188
214,-2.5749770009199633
215,-2.5823367065317386
216,-2.589696412143514
217,-2.5970561177552898
218,-2.6044158233670656
219,-2.611775528978841
220,-2.6191352345906163
221,-2.6264949402023916
222,-2.6338546458141674
223,-2.641214351425943
224,-2.6485740570377185
225,-2.655933762649494
226,-2.6632934682612692
227,-2.670653173873045
228,-2.678012879484821
229,-2.685372585096596
230,-2.6927322907083715
231,-2.700091996320147
232,-2.7074517019319226
233,-2.7148114075436984
234,-2.7221711131554738
235,-2.729530818767249
236,-2.736890524379025
237,-2.7442502299908003
238,-2.751609935602576
239,-2.7589696412143514
240,-2.7663293468261267
241,-2.7736890524379025
242,-2.7810487580496783
243,-2.7884084636614537
244,-2.795768169273229
245,-2.8031278748850044
246,-2.81048758049678
247,-2.817847286108556
248,-2.8252069917203313
249,-2.8325666973321066
250,-2.839926402943882
251,-2.847286108555658
252,-2.8546458141674336
253,-2.862005519779209
254,-2.8693652253909843
255,-2.8767249310027596
256,-2.8840846366145354
257,-2.891444342226311
258,-2.8988040478380865
259,-2.906163753449862
260,-2.9135234590616372
261,-2.920883164673413
262,-2.928242870285189
263,-2.935602575896964
264,-2.9429622815087395
265,-2.950321987120515
266,-2.9576816927322906
267,-2.9650413983440664
268,-2.972401103955842
269,-2.979760809567617
270,-2.9871205151793925
271,-2.9944802207911683
272,-3.001839926402944
273,-3.0091996320147194
274,-3.0165593376264948
275,-3.0239190432382705
276,-3.031278748850046
277,-3.0386384544618217
278,-3.045998160073597
279,-3.0533578656853724
280,-3.060717571297148
281,-3.0680772769089235
282,-3.0754369825206993
283,-3.0827966881324746
284,-3.09015639374425
285,-3.097516099356026
286,-3.104875804967801
287,-3.112235510579577
288,-3.1195952161913523
289,-3.126954921803128
290,-3.1343146274149034
291,-3.1416743330266788
292,-3.1490340386384545
293,-3.15639374425023
294,-3.1637534498620057
295,-3.171113155473781
296,-3.1784728610855564
297,-3.185832566697332
298,-3.1931922723091075
299,-3.2005519779208833
300,-3.2079116835326587
301,-3.215271389144434
302,-3.22263109475621
303,-3.229990800367985
304,-3.237350505979761
305,-3.2447102115915363
306,-3.252069917203312
307,-3.2594296228150874
308,-3.2667893284268628
309,-3.2741490340386386
310,-3.281508739650414
311,-3.2888684452621897
312,-3.296228150873965
313,-3.3035878564857404
314,-3.310947562097516
315,-3.3183072677092915
316,-3.3256669733210673
317,-3.3330266789328427
318,-3.340386384544618
319,-3.347746090156394
320,-3.355105795768169
321,-3.362465501379945
322,-3.3698252069917203
323,-3.3771849126034956
324,-3.3845446182152714
325,-3.3919043238270468
326,-3.3992640294388226
327,-3.406623735050598
328,-3.4139834406623737
329,-3.421343146274149
330,-3.4287028518859244
331,-3.4360625574977
332,-3.4434222631094755
333,-3.4507819687212513
334,-3.4581416743330267
335,-3.465501379944802
336,-3.472861085556578
337,-3.480220791168353
338,-3.487580496780129
339,-3.4949402023919043
340,-3.5022999080036796
341,-3.5096596136154554
342,-3.5170193192272308
343,-3.5243790248390066
344,-3.531738730450782
345,-3.5390984360625577
346,-3.546458141674333
347,-3.5538178472861084
348,-3.561177552897884
349,-3.5685372585096595
350,-3.5758969641214353
351,-3.5832566697332107
352,-3.590616375344986
353,-3.597976080956762
354,-3.605335786568537
355,-3.612695492180313
356,-3.6200551977920883
357,-3.6274149034038636
358,-3.6347746090156394
359,-3.6421343146274148
360,-3.6494940202391906
361,-3.656853725850966
362,-3.6642134314627413
363,-3.671573137074517
364,-3.6789328426862924
365,-3.686292548298068
366,-3.6936522539098435
367,-3.7010119595216193
368,-3.7083716651333947
369,-3.71573137074517
370,-3.723091076356946
371,-3.730450781968721
372,-3.737810487580497
373,-3.7451701931922723
374,-3.7525298988040476
375,-3.7598896044158234
376,-3.7672493100275988
377,-3.7746090156393746
378,-3.78196872125115
379,-3.7893284268629253
380,-3.796688132474701
381,-3.8040478380864764
382,-3.811407543698252
383,-3.8187672493100275
384,-3.8261269549218033
385,-3.8334866605335787
386,-3.840846366145354
387,-3.84820607175713
388,-3.855565777368905
389,-3.862925482980681
390,-3.8702851885924563
391,-3.8776448942042316
392,-3.8850045998160074
393,-3.892364305427783
394,-3.8997240110395586
395,-3.907083716651334
396,-3.9144434222631093
397,-3.921803127874885
398,-3.9291628334866604
399,-3.936522539098436
400,-3.9438822447102115
401,-3.951241950321987
402,-3.9586016559337627
403,-3.965961361545538
404,-3.973321067157314
405,-3.980680772769089
406,-3.988040478380865
407,-3.9954001839926403
408,-4.002759889604416
409,-4.010119595216191
410,-4.017479300827967
411,-4.024839006439743
412,-4.0321987120515175
413,-4.039558417663294
414,-4.046918123275069
415,-4.054277828886844
416,-4.061637534498621
417,-4.068997240110395
418,-4.076356945722171
419,-4.083716651333947
420,-4.091076356945722
421,-4.098436062557498
422,-4.105795768169273
423,-4.113155473781049
424,-4.120515179392824
425,-4.1278748850046
426,-4.135234590616376
427,-4.14259429622815
428,-4.149954001839927
429,-4.157313707451702
430,-4.164673413063477
431,-4.1720331186752535
432,-4.179392824287028
433,-4.186752529898804
434,-4.1941122355105795
435,-4.201471941122355
436,-4.208831646734131
437,-4.216191352345906
438,-4.223551057957682
439,-4.230910763569457
440,-4.2382704691812325
441,-4.245630174793009
442,-4.252989880404783
443,-4.260349586016559
444,-4.267709291628335
445,-4.27506899724011
446,-4.282428702851886
447,-4.289788408463661
448,-4.297148114075437
449,-4.304507819687212
450,-4.311867525298988
451,-4.319227230910764
452,-4.3265869365225385
453,-4.333946642134315
454,-4.34130634774609
455,-4.348666053357865
456,-4.356025758969642
457,-4.363385464581416
458,-4.370745170193192
459,-4.378104875804968
460,-4.385464581416743
461,-4.392824287028519
462,-4.400183992640294
463,-4.40754369825207
464,-4.414903403863845
465,-4.422263109475621
466,-4.429622815087397
467,-4.436982520699172
468,-4.4443422263109476
469,-4.451701931922723
470,-4.459061637534498
471,-4.4664213431462745
472,-4.47378104875805
473,-4.481140754369825
474,-4.4885004599816005
475,-4.495860165593376
476,-4.503219871205152
477,-4.5105795768169274
478,-4.517939282428703
479,-4.525298988040478
480,-4.5326586936522535
481,-4.54001839926403
482,-4.547378104875805
483,-4.55473781048758
484,-4.562097516099357
485,-4.569457221711131
486,-4.576816927322907
487,-4.584176632934683
488,-4.591536338546458
489,-4.598896044158234
490,-4.606255749770009
491,-4.613615455381785
492,-4.62097516099356
493,-4.628334866605336
494,-4.635694572217112
495,-4.643054277828886
496,-4.650413983440663
497,-4.657773689052438
498,-4.665133394664213
499,-4.6724931002759895
500,-4.679852805887764
501,-4.68721251149954
502,-4.694572217111316
503,-4.701931922723091
504,-4.709291628334867
505,-4.716651333946642
506,-4.724011039558418
507,-4.731370745170193
508,-4.7387304507819685
509,-4.746090156393745
510,-4.753449862005519
511,-4.7608095676172955
512,-4.768169273229071
513,-4.775528978840846
514,-4.782888684452622
515,-4.790248390064397
516,-4.797608095676173
517,-4.804967801287948
518,-4.812327506899724
519,-4.8196872125115
520,-4.8270469181232745
521,-4.834406623735051
522,-4.841766329346826
523,-4.849126034958601
524,-4.856485740570378
525,-4.863845446182152
526,-4.871205151793928
527,-4.878564857405704
528,-4.885924563017479
529,-4.893284268629255
530,-4.90064397424103
531,-4.908003679852806
532,-4.915363385464581
533,-4.922723091076357
534,-4.930082796688133
535,-4.937442502299907
536,-4.944802207911684
537,-4.952161913523459
538,-4.959521619135234
539,-4.9668813247470105
540,-4.974241030358785
541,-4.981600735970561
542,-4.9889604415823365
543,-4.996320147194112
544,-5.003679852805888
545,-5.0110395584176635
546,-5.018399264029439
547,-5.025758969641214
548,-5.0331186752529895
549,-5.040478380864766
550,-5.047838086476541
551,-5.055197792088316
552,-5.062557497700092
553,-5.069917203311867
554,-5.077276908923643
555,-5.084636614535419
556,-5.091996320147194
557,-5.099356025758969
558,-5.106715731370745
559,-5.114075436982521
560,-5.121435142594296
561,-5.128794848206072
562,-5.136154553817847
563,-5.143514259429622
564,-5.150873965041399
565,-5.158233670653174
566,-5.165593376264949
567,-5.172953081876725
568,-5.1803127874885
