,0
212,-29.579270162526832
213,-29.55841766329347
214,-29.537565164060105
215,-29.51671266482674
216,-29.495860165593378
217,-29.475007666360014
218,-29.45415516712665
219,-29.433302667893283
220,-29.41245016865992
221,-29.391597669426556
222,-29.370745170193192
223,-29.34989267095983
224,-29.329040171726465
225,-29.3081876724931
226,-29.287335173259734
227,-29.26648267402637
228,-29.245630174793007
229,-29.224777675559643
230,-29.20392517632628
231,-29.183072677092916
232,-29.162220177859552
233,-29.14136767862619
234,-29.120515179392825
235,-29.09966268015946
236,-29.078810180926098
237,-29.057957681692734
238,-29.037105182459367
239,-29.016252683226003
240,-28.99540018399264
241,-28.974547684759276
242,-28.953695185525913
243,-28.93284268629255
244,-28.911990187059185
245,-28.89113768782582
246,-28.870285188592455
247,-28.84943268935909
248,-28.828580190125727
249,-28.807727690892364
250,-28.786875191659
251,-28.766022692425636
252,-28.745170193192273
253,-28.72431769395891
254,-28.703465194725545
255,-28.682612695492182
256,-28.661760196258818
257,-28.640907697025455
258,-28.620055197792087
259,-28.599202698558724
260,-28.57835019932536
261,-28.557497700091997
262,-28.536645200858633
263,-28.51579270162527
264,-28.494940202391906
265,-28.47408770315854
266,-28.453235203925175
267,-28.43238270469181
268,-28.411530205458448
269,-28.390677706225084
270,-28.36982520699172
271,-28.348972707758357
272,-28.328120208524993
273,-28.30726770929163
274,-28.286415210058266
275,-28.265562710824902
276,-28.24471021159154
277,-28.22385771235817
278,-28.203005213124808
279,-28.182152713891444
280,-28.16130021465808
281,-28.140447715424717
282,-28.119595216191353
283,-28.09874271695799
284,-28.077890217724622
285,-28.05703771849126
286,-28.036185219257895
287,-28.01533272002453
288,-27.994480220791168
289,-27.973627721557804
290,-27.95277522232444
291,-27.931922723091077
292,-27.911070223857713
293,-27.89021772462435
294,-27.869365225390986
295,-27.848512726157622
296,-27.827660226924255
297,-27.80680772769089
298,-27.785955228457528
299,-27.765102729224164
300,-27.7442502299908
301,-27.723397730757437
302,-27.702545231524073
303,-27.68169273229071
304,-27.660840233057343
305,-27.63998773382398
306,-27.619135234590615
307,-27.59828273535725
308,-27.577430236123888
309,-27.556577736890524
310,-27.53572523765716
311,-27.514872738423797
312,-27.494020239190434
313,-27.47316773995707
314,-27.452315240723706
315,-27.431462741490343
316,-27.410610242256976
317,-27.389757743023612
318,-27.36890524379025
319,-27.348052744556885
320,-27.32720024532352
321,-27.306347746090157
322,-27.285495246856794
323,-27.264642747623427
324,-27.243790248390063
325,-27.2229377491567
326,-27.202085249923336
327,-27.181232750689972
328,-27.16038025145661
329,-27.139527752223245
330,-27.11867525298988
331,-27.097822753756517
332,-27.076970254523154
333,-27.05611775528979
334,-27.035265256056427
335,-27.01441275682306
336,-26.993560257589696
337,-26.972707758356332
338,-26.95185525912297
339,-26.931002759889605
340,-26.91015026065624
341,-26.889297761422878
342,-26.86844526218951
343,-26.847592762956147
344,-26.826740263722783
345,-26.80588776448942
346,-26.785035265256056
347,-26.764182766022692
348,-26.74333026678933
349,-26.722477767555965
350,-26.7016252683226
351,-26.680772769089238
352,-26.659920269855874
353,-26.63906777062251
354,-26.618215271389143
355,-26.59736277215578
356,-26.576510272922416
357,-26.555657773689052
358,-26.53480527445569
359,-26.513952775222325
360,-26.49310027598896
361,-26.472247776755598
362,-26.45139527752223
363,-26.430542778288867
364,-26.409690279055503
365,-26.38883777982214
366,-26.367985280588776
367,-26.347132781355413
368,-26.32628028212205
369,-26.305427782888685
370,-26.28457528365532
371,-26.263722784421958
372,-26.242870285188594
373,-26.22201778595523
374,-26.201165286721864
375,-26.1803127874885
376,-26.159460288255136
377,-26.138607789021773
378,-26.11775528978841
379,-26.096902790555045
380,-26.076050291321682
381,-26.055197792088315
382,-26.03434529285495
383,-26.013492793621587
384,-25.992640294388224
385,-25.97178779515486
386,-25.950935295921497
387,-25.930082796688133
388,-25.90923029745477
389,-25.888377798221406
390,-25.867525298988042
391,-25.84667279975468
392,-25.825820300521315
393,-25.80496780128795
394,-25.784115302054584
395,-25.76326280282122
396,-25.742410303587857
397,-25.721557804354493
398,-25.70070530512113
399,-25.679852805887762
400,-25.6590003066544
401,-25.638147807421035
402,-25.61729530818767
403,-25.596442808954308
404,-25.575590309720944
405,-25.55473781048758
406,-25.533885311254217
407,-25.513032812020853
408,-25.49218031278749
409,-25.471327813554126
410,-25.450475314320762
411,-25.4296228150874
412,-25.408770315854035
413,-25.387917816620668
414,-25.367065317387304
415,-25.34621281815394
416,-25.325360318920577
417,-25.304507819687213
418,-25.283655320453846
419,-25.262802821220482
420,-25.24195032198712
421,-25.221097822753755
422,-25.20024532352039
423,-25.179392824287028
424,-25.158540325053664
425,-25.1376878258203
426,-25.116835326586937
427,-25.095982827353573
428,-25.07513032812021
429,-25.054277828886846
430,-25.033425329653483
431,-25.01257283042012
432,-24.991720331186755
433,-24.970867831953388
434,-24.950015332720024
435,-24.92916283348666
436,-24.908310334253297
437,-24.887457835019934
438,-24.866605335786566
439,-24.845752836553203
440,-24.82490033731984
441,-24.804047838086476
442,-24.783195338853112
443,-24.76234283961975
444,-24.741490340386385
445,-24.72063784115302
446,-24.699785341919657
447,-24.678932842686294
448,-24.65808034345293
449,-24.637227844219566
450,-24.616375344986203
451,-24.59552284575284
452,-24.574670346519472
453,-24.55381784728611
454,-24.532965348052745
455,-24.51211284881938
456,-24.491260349586017
457,-24.47040785035265
458,-24.449555351119287
459,-24.428702851885923
460,-24.40785035265256
461,-24.386997853419196
462,-24.366145354185832
463,-24.34529285495247
464,-24.324440355719105
465,-24.30358785648574
466,-24.282735357252378
467,-24.261882858019014
468,-24.24103035878565
469,-24.220177859552287
470,-24.199325360318923
471,-24.178472861085556
472,-24.157620361852192
473,-24.13676786261883
474,-24.115915363385465
475,-24.0950628641521
476,-24.074210364918734
477,-24.05335786568537
478,-24.032505366452007
479,-24.011652867218643
480,-23.99080036798528
481,-23.969947868751916
482,-23.949095369518552
483,-23.92824287028519
484,-23.907390371051825
485,-23.88653787181846
486,-23.865685372585098
487,-23.844832873351734
488,-23.82398037411837
489,-23.803127874885007
490,-23.782275375651643
491,-23.761422876418276
492,-23.740570377184913
493,-23.71971787795155
494,-23.698865378718185
495,-23.67801287948482
496,-23.657160380251455
497,-23.63630788101809
498,-23.615455381784727
499,-23.594602882551364
500,-23.573750383318
501,-23.552897884084636
502,-23.532045384851273
503,-23.51119288561791
504,-23.490340386384545
505,-23.469487887151182
506,-23.448635387917818
507,-23.427782888684455
508,-23.40693038945109
509,-23.386077890217727
510,-23.36522539098436
511,-23.344372891750997
512,-23.323520392517633
513,-23.30266789328427
514,-23.281815394050906
515,-23.26096289481754
516,-23.240110395584175
517,-23.21925789635081
518,-23.198405397117448
519,-23.177552897884084
520,-23.15670039865072
521,-23.135847899417357
522,-23.114995400183993
523,-23.09414290095063
524,-23.073290401717266
525,-23.052437902483902
526,-23.03158540325054
527,-23.010732904017175
528,-22.98988040478381
529,-22.969027905550444
530,-22.94817540631708
531,-22.927322907083717
532,-22.906470407850353
533,-22.88561790861699
534,-22.864765409383622
535,-22.84391291015026
536,-22.823060410916895
537,-22.80220791168353
538,-22.781355412450168
539,-22.760502913216804
540,-22.73965041398344
541,-22.718797914750077
542,-22.697945415516713
543,-22.67709291628335
544,-22.656240417049986
545,-22.635387917816622
546,-22.61453541858326
547,-22.593682919349895
548,-22.57283042011653
549,-22.551977920883164
550,-22.5311254216498
551,-22.510272922416437
552,-22.489420423183073
553,-22.46856792394971
554,-22.447715424716343
555,-22.42686292548298
556,-22.406010426249615
557,-22.38515792701625
558,-22.364305427782888
559,-22.343452928549524
560,-22.32260042931616
561,-22.301747930082797
562,-22.280895430849434
563,-22.26004293161607
564,-22.239190432382706
565,-22.218337933149343
566,-22.19748543391598
567,-22.176632934682615
568,-22.15578043544925
569,-22.134927936215885
570,-22.11407543698252
571,-22.093222937749157
572,-22.072370438515794
573,-22.051517939282427
574,-22.030665440049063
575,-22.0098129408157
576,-21.988960441582336
577,-21.968107942348972
578,-21.94725544311561
579,-21.926402943882245
580,-21.90555044464888
581,-21.884697945415517
582,-21.863845446182154
583,-21.84299294694879
584,-21.822140447715427
585,-21.801287948482063
586,-21.7804354492487
587,-21.759582950015332
588,-21.73873045078197
589,-21.717877951548605
590,-21.69702545231524
591,-21.676172953081878
592,-21.65532045384851
593,-21.634467954615147
594,-21.613615455381783
595,-21.59276295614842
596,-21.571910456915056
597,-21.551057957681692
598,-21.53020545844833
599,-21.509352959214965
600,-21.4885004599816
601,-21.467647960748238
602,-21.446795461514874
603,-21.42594296228151
604,-21.405090463048147
605,-21.384237963814783
606,-21.36338546458142
607,-21.342532965348052
608,-21.32168046611469
609,-21.300827966881325
610,-21.27997546764796
611,-21.259122968414598
612,-21.23827046918123
613,-21.217417969947867
614,-21.196565470714503
615,-21.17571297148114
616,-21.154860472247776
617,-21.134007973014413
618,-21.11315547378105
619,-21.092302974547685
620,-21.07145047531432
621,-21.050597976080958
622,-21.029745476847594
623,-21.00889297761423
624,-20.988040478380867
625,-20.967187979147504
626,-20.946335479914136
627,-20.925482980680773
628,-20.90463048144741
629,-20.883777982214045
630,-20.862925482980682
631,-20.842072983747315
632,-20.82122048451395
633,-20.800367985280587
634,-20.779515486047224
635,-20.75866298681386
636,-20.737810487580496
637,-20.716957988347133
638,-20.69610548911377
639,-20.675252989880406
640,-20.654400490647042
641,-20.63354799141368
642,-20.612695492180315
643,-20.59184299294695
644,-20.570990493713587
645,-20.55013799448022
646,-20.529285495246857
647,-20.508432996013493
648,-20.48758049678013
649,-20.466727997546766
650,-20.4458754983134
651,-20.425022999080035
652,-20.40417049984667
653,-20.383318000613308
654,-20.362465501379944
655,-20.34161300214658
656,-20.320760502913217
657,-20.299908003679853
658,-20.27905550444649
659,-20.258203005213126
660,-20.237350505979762
661,-20.2164980067464
662,-20.195645507513035
663,-20.17479300827967
664,-20.153940509046308
665,-20.13308800981294
666,-20.112235510579577
667,-20.091383011346213
668,-20.07053051211285
669,-20.049678012879482
670,-20.02882551364612
671,-20.007973014412755
672,-19.98712051517939
673,-19.966268015946028
674,-19.945415516712664
675,-19.9245630174793
676,-19.903710518245937
677,-19.882858019012573
678,-19.86200551977921
679,-19.841153020545846
680,-19.820300521312483
681,-19.79944802207912
682,-19.778595522845755
683,-19.75774302361239
684,-19.736890524379024
685,-19.71603802514566
686,-19.695185525912297
687,-19.674333026678934
688,-19.65348052744557
689,-19.632628028212203
690,-19.61177552897884
691,-19.590923029745476
692,-19.570070530512112
693,-19.54921803127875
694,-19.528365532045385
695,-19.50751303281202
696,-19.486660533578657
697,-19.465808034345294
698,-19.44495553511193
699,-19.424103035878566
700,-19.403250536645203
701,-19.38239803741184
702,-19.361545538178476
703,-19.34069303894511
704,-19.319840539711745
705,-19.29898804047838
706,-19.278135541245017
707,-19.257283042011654
708,-19.236430542778287
709,-19.215578043544923
710,-19.19472554431156
711,-19.173873045078196
712,-19.153020545844832
713,-19.13216804661147
714,-19.111315547378105
715,-19.09046304814474
716,-19.069610548911378
717,-19.048758049678014
718,-19.02790555044465
719,-19.007053051211287
720,-18.986200551977923
721,-18.96534805274456
722,-18.944495553511196
723,-18.92364305427783
724,-18.902790555044465
725,-18.8819380558111
726,-18.861085556577738
727,-18.84023305734437
728,-18.819380558111007
729,-18.798528058877643
730,-18.77767555964428
731,-18.756823060410916
732,-18.735970561177552
733,-18.71511806194419
734,-18.694265562710825
735,-18.67341306347746
736,-18.652560564244098
737,-18.631708065010734
738,-18.61085556577737
739,-18.590003066544007
740,-18.569150567310643
741,-18.54829806807728
742,-18.527445568843913
743,-18.50659306961055
744,-18.485740570377185
745,-18.46488807114382
746,-18.444035571910458
747,-18.42318307267709
748,-18.402330573443727
749,-18.381478074210364
750,-18.360625574977
751,-18.339773075743636
752,-18.318920576510273
753,-18.29806807727691
754,-18.277215578043545
755,-18.256363078810182
756,-18.235510579576818
757,-18.214658080343455
758,-18.19380558111009
759,-18.172953081876727
760,-18.152100582643364
761,-18.131248083409996
762,-18.110395584176633
763,-18.08954308494327
764,-18.068690585709906
765,-18.047838086476542
766,-18.026985587243175
767,-18.00613308800981
768,-17.985280588776448
769,-17.964428089543084
770,-17.94357559030972
771,-17.922723091076357
772,-17.901870591842993
773,-17.88101809260963
774,-17.860165593376266
775,-17.839313094142902
776,-17.81846059490954
777,-17.797608095676175
778,-17.776755596442808
779,-17.755903097209444
780,-17.73505059797608
781,-17.714198098742717
782,-17.693345599509353
783,-17.67249310027599
784,-17.651640601042626
785,-17.630788101809262
786,-17.6099356025759
787,-17.589083103342535
788,-17.568230604109168
789,-17.547378104875804
790,-17.52652560564244
791,-17.505673106409077
792,-17.484820607175713
793,-17.46396810794235
794,-17.443115608708986
795,-17.422263109475622
796,-17.40141061024226
797,-17.38055811100889
798,-17.359705611775528
799,-17.338853112542164
800,-17.3180006133088
801,-17.297148114075437
802,-17.276295614842073
803,-17.25544311560871
804,-17.234590616375346
805,-17.213738117141983
806,-17.19288561790862
807,-17.17203311867525
808,-17.151180619441888
809,-17.130328120208524
810,-17.10947562097516
811,-17.088623121741797
812,-17.067770622508434
813,-17.04691812327507
814,-17.026065624041706
815,-17.005213124808343
816,-16.98436062557498
817,-16.963508126341612
818,-16.94265562710825
819,-16.921803127874885
820,-16.90095062864152
821,-16.880098129408157
822,-16.859245630174794
823,-16.83839313094143
824,-16.817540631708066
825,-16.796688132474703
826,-16.775835633241336
827,-16.754983134007972
828,-16.73413063477461
829,-16.713278135541245
830,-16.69242563630788
831,-16.671573137074517
832,-16.650720637841154
833,-16.62986813860779
834,-16.609015639374427
835,-16.588163140141063
836,-16.567310640907696
837,-16.546458141674332
838,-16.52560564244097
839,-16.504753143207605
840,-16.48390064397424
841,-16.463048144740878
842,-16.442195645507514
843,-16.42134314627415
844,-16.400490647040787
845,-16.379638147807423
846,-16.358785648574056
847,-16.337933149340692
848,-16.31708065010733
849,-16.296228150873965
850,-16.2753756516406
851,-16.254523152407238
852,-16.233670653173874
853,-16.21281815394051
854,-16.191965654707147
855,-16.17111315547378
856,-16.150260656240416
857,-16.129408157007052
858,-16.10855565777369
859,-16.087703158540325
860,-16.06685065930696
861,-16.045998160073598
862,-16.025145660840234
863,-16.00429316160687
864,-15.983440662373507
865,-15.96258816314014
866,-15.941735663906776
867,-15.920883164673413
868,-15.900030665440049
869,-15.879178166206685
870,-15.858325666973322
871,-15.837473167739958
872,-15.816620668506594
873,-15.79576816927323
874,-15.774915670039867
875,-15.7540631708065
876,-15.733210671573136
877,-15.712358172339773
878,-15.691505673106409
879,-15.670653173873045
880,-15.649800674639682
881,-15.628948175406318
882,-15.608095676172955
883,-15.587243176939591
884,-15.566390677706224
885,-15.54553817847286
886,-15.524685679239496
887,-15.503833180006133
888,-15.48298068077277
889,-15.462128181539406
890,-15.441275682306042
891,-15.420423183072678
892,-15.399570683839315
893,-15.378718184605951
894,-15.357865685372584
895,-15.33701318613922
896,-15.316160686905857
897,-15.295308187672493
898,-15.27445568843913
899,-15.253603189205766
900,-15.232750689972402
901,-15.211898190739038
902,-15.191045691505675
903,-15.170193192272311
904,-15.149340693038944
905,-15.12848819380558
906,-15.107635694572217
907,-15.086783195338853
908,-15.06593069610549
909,-15.045078196872126
910,-15.024225697638762
911,-15.003373198405399
912,-14.982520699172035
913,-14.961668199938668
914,-14.940815700705304
915,-14.91996320147194
916,-14.899110702238577
917,-14.878258203005213
918,-14.85740570377185
919,-14.836553204538486
920,-14.815700705305122
921,-14.794848206071759
922,-14.773995706838395
923,-14.753143207605028
924,-14.732290708371664
925,-14.7114382091383
926,-14.690585709904937
927,-14.669733210671573
928,-14.64888071143821
929,-14.628028212204846
930,-14.607175712971483
931,-14.586323213738119
932,-14.565470714504755
933,-14.544618215271388
934,-14.523765716038024
935,-14.50291321680466
936,-14.482060717571297
937,-14.461208218337934
938,-14.44035571910457
939,-14.419503219871206
940,-14.398650720637843
941,-14.377798221404479
942,-14.356945722171112
943,-14.336093222937748
944,-14.315240723704385
945,-14.294388224471021
946,-14.273535725237657
947,-14.252683226004294
948,-14.23183072677093
949,-14.210978227537566
950,-14.190125728304203
951,-14.16927322907084
952,-14.148420729837472
953,-14.127568230604108
954,-14.106715731370745
955,-14.085863232137381
956,-14.065010732904017
957,-14.044158233670654
958,-14.02330573443729
959,-14.002453235203927
960,-13.981600735970563
961,-13.9607482367372
962,-13.939895737503832
963,-13.919043238270469
964,-13.898190739037105
965,-13.877338239803741
966,-13.856485740570378
